shipping_key,shipping_type,delivery_days,order_status
121,Standard,21,delivered
122,Standard,33,delivered
123,Standard,21,delivered
124,Standard,14,delivered
125,Express,42,delivered
126,Standard,20,delivered
127,Standard,18,delivered
128,Standard,18,delivered
129,Standard,29,processing
130,Express,22,delivered
131,Standard,11,delivered
132,Standard,21,delivered
133,Standard,32,delivered
134,Standard,24,delivered
135,Standard,27,delivered
136,Standard,29,delivered
137,Standard,11,delivered
138,Standard,19,delivered
139,Standard,26,delivered
140,Standard,17,delivered
141,Standard,18,delivered
142,Standard,13,delivered
143,Standard,27,delivered
144,Standard,22,delivered
145,Standard,20,delivered
146,Standard,32,delivered
147,Standard,29,delivered
148,Standard,9,delivered
149,Standard,17,delivered
150,Standard,22,delivered
151,Standard,32,delivered
152,Standard,17,delivered
153,Standard,22,delivered
154,Standard,35,delivered
155,Standard,27,shipped
156,Standard,23,delivered
157,Express,19,delivered
158,Standard,32,delivered
159,Standard,22,delivered
160,Standard,35,delivered
161,Standard,35,delivered
162,Standard,31,delivered
163,Express,29,shipped
164,Standard,32,delivered
165,Standard,32,delivered
166,Standard,11,delivered
167,Standard,28,delivered
168,Standard,10,delivered
169,Standard,28,delivered
170,Standard,46,delivered
171,Standard,24,delivered
172,Standard,12,delivered
173,Standard,15,delivered
174,Standard,15,delivered
175,Standard,10,delivered
176,Standard,32,delivered
177,Standard,27,delivered
178,Standard,23,delivered
179,Standard,32,delivered
180,Standard,22,delivered
181,Standard,11,delivered
182,Standard,14,delivered
183,Standard,26,delivered
184,Standard,29,delivered
185,Standard,30,delivered
186,Standard,19,delivered
187,Express,21,delivered
188,Standard,24,delivered
189,Standard,31,delivered
190,Standard,32,delivered
191,Standard,20,delivered
192,Standard,25,delivered
193,Standard,17,delivered
194,Standard,18,delivered
195,Standard,12,delivered
196,Standard,28,delivered
197,Standard,21,delivered
198,Standard,26,delivered
199,Standard,19,delivered
200,Standard,9,delivered
201,Standard,18,delivered
202,Standard,53,delivered
203,Standard,8,delivered
204,Standard,23,delivered
205,Standard,15,delivered
206,Standard,49,delivered
207,Standard,20,delivered
208,Standard,25,delivered
209,Standard,22,delivered
210,Standard,21,delivered
211,Standard,8,delivered
212,Standard,37,delivered
213,Standard,15,delivered
214,Standard,37,delivered
215,Standard,17,delivered
216,Standard,19,delivered
217,Standard,22,delivered
218,Standard,29,delivered
219,Standard,28,delivered
220,Standard,19,delivered
221,Standard,25,delivered
222,Standard,26,delivered
223,Standard,21,delivered
224,Standard,20,delivered
225,Standard,21,delivered
226,Standard,18,delivered
227,Standard,6,delivered
228,Standard,21,delivered
229,Standard,18,delivered
230,Standard,23,delivered
231,Standard,18,delivered
232,Standard,25,shipped
233,Standard,37,delivered
234,Standard,28,delivered
235,Standard,22,delivered
236,Standard,36,delivered
237,Standard,38,delivered
238,Standard,24,delivered
239,Standard,25,delivered
240,Standard,12,delivered
241,Standard,26,delivered
242,Standard,29,delivered
243,Standard,19,delivered
244,Standard,26,delivered
245,Standard,7,delivered
246,Standard,25,delivered
247,Standard,22,delivered
248,Standard,26,delivered
249,Standard,20,delivered
250,Standard,13,delivered
251,Standard,27,delivered
252,Standard,31,delivered
253,Standard,31,delivered
254,Standard,35,delivered
255,Standard,24,delivered
256,Standard,21,delivered
257,Standard,13,delivered
258,Standard,28,delivered
259,Standard,36,delivered
260,Standard,23,delivered
261,Standard,8,delivered
262,Standard,24,delivered
263,Standard,30,delivered
264,Standard,13,delivered
265,Standard,14,delivered
266,Express,19,delivered
267,Standard,18,unavailable
268,Standard,26,delivered
269,Standard,14,delivered
270,Standard,14,delivered
271,Standard,26,delivered
272,Standard,4,delivered
273,Standard,19,delivered
274,Standard,39,delivered
275,Standard,29,delivered
276,Standard,24,delivered
277,Standard,16,delivered
278,Standard,26,delivered
279,Standard,34,delivered
280,Standard,26,delivered
281,Standard,24,delivered
282,Standard,15,delivered
283,Standard,32,delivered
284,Standard,25,delivered
285,Standard,32,delivered
286,Standard,25,delivered
287,Standard,27,delivered
288,Standard,23,delivered
289,Standard,38,delivered
290,Standard,21,delivered
291,Standard,9,delivered
292,Standard,18,delivered
293,Standard,17,delivered
294,Standard,20,delivered
295,Standard,40,delivered
296,Standard,32,delivered
297,Standard,19,delivered
298,Express,33,delivered
299,Standard,18,delivered
300,Standard,35,shipped
301,Standard,21,delivered
302,Standard,12,delivered
303,Standard,19,delivered
304,Standard,39,delivered
305,Standard,26,delivered
306,Standard,22,shipped
307,Standard,20,delivered
308,Standard,26,delivered
309,Standard,25,delivered
310,Standard,48,delivered
311,Standard,12,delivered
312,Standard,25,delivered
313,Standard,24,delivered
314,Express,22,delivered
315,Standard,29,delivered
316,Standard,35,delivered
317,Standard,30,delivered
318,Standard,22,delivered
319,Standard,15,delivered
320,Standard,20,delivered
321,Standard,17,delivered
322,Standard,5,delivered
323,Standard,36,delivered
324,Standard,19,delivered
325,Standard,64,processing
326,Standard,19,delivered
327,Standard,30,delivered
328,Standard,12,delivered
329,Standard,3,delivered
330,Standard,24,delivered
331,Standard,13,delivered
332,Standard,33,delivered
333,Standard,29,delivered
334,Standard,26,shipped
335,Standard,39,delivered
336,Standard,20,delivered
337,Standard,23,delivered
338,Standard,29,delivered
339,Standard,32,delivered
340,Standard,32,delivered
341,Standard,25,delivered
342,Standard,10,delivered
343,Standard,10,delivered
344,Standard,35,delivered
345,Standard,26,delivered
346,Standard,35,delivered
347,Standard,24,delivered
348,Standard,24,delivered
349,Standard,18,delivered
350,Standard,16,delivered
351,Standard,30,delivered
352,Standard,11,delivered
353,Express,13,delivered
354,Standard,27,delivered
355,Standard,19,delivered
356,Standard,25,delivered
357,Standard,14,delivered
358,Standard,10,delivered
359,Standard,26,delivered
360,Standard,31,delivered
361,Standard,22,delivered
362,Standard,15,delivered
363,Standard,28,delivered
364,Standard,12,delivered
365,Standard,31,delivered
366,Standard,20,delivered
367,Standard,20,delivered
368,Standard,22,delivered
369,Standard,19,delivered
370,Standard,38,delivered
371,Standard,23,delivered
372,Standard,30,delivered
373,Standard,41,delivered
374,Standard,24,delivered
375,Standard,19,shipped
376,Standard,30,delivered
377,Standard,23,delivered
378,Standard,20,delivered
379,Standard,62,delivered
380,Standard,20,delivered
381,Standard,33,delivered
382,Standard,10,delivered
383,Standard,27,delivered
384,Standard,19,delivered
385,Standard,46,delivered
386,Standard,25,delivered
387,Standard,30,delivered
388,Standard,15,delivered
389,Standard,32,delivered
390,Standard,22,delivered
391,Standard,28,delivered
392,Standard,33,delivered
393,Standard,31,delivered
394,Standard,30,delivered
395,Standard,27,delivered
396,Standard,17,delivered
397,Express,21,delivered
398,Standard,9,canceled
399,Standard,19,delivered
400,Standard,28,delivered
401,Standard,17,delivered
402,Standard,34,delivered
403,Standard,7,delivered
404,Standard,21,delivered
405,Standard,9,delivered
406,Standard,18,delivered
407,Standard,20,delivered
408,Standard,27,delivered
409,Standard,17,delivered
410,Standard,18,delivered
411,Standard,18,delivered
412,Standard,18,delivered
413,Standard,20,delivered
414,Standard,26,delivered
415,Standard,16,delivered
416,Standard,14,delivered
417,Standard,34,delivered
418,Standard,29,delivered
419,Standard,19,delivered
420,Standard,29,delivered
421,Standard,13,delivered
422,Standard,31,delivered
423,Standard,26,delivered
424,Standard,31,delivered
425,Standard,16,delivered
426,Standard,23,delivered
427,Standard,27,delivered
428,Standard,21,delivered
429,Standard,21,delivered
430,Standard,27,delivered
431,Standard,33,shipped
432,Standard,19,delivered
433,Standard,11,delivered
434,Standard,31,delivered
435,Standard,20,delivered
436,Standard,27,delivered
437,Standard,30,delivered
438,Standard,23,delivered
439,Standard,23,delivered
440,Standard,13,delivered
441,Standard,27,delivered
442,Standard,27,delivered
443,Standard,25,delivered
444,Standard,21,delivered
445,Standard,13,shipped
446,Standard,25,delivered
447,Standard,19,delivered
448,Standard,20,delivered
449,Standard,12,delivered
450,Standard,58,delivered
451,Standard,32,delivered
452,Standard,22,delivered
453,Standard,23,delivered
454,Express,33,delivered
455,Standard,21,delivered
456,Standard,26,invoiced
457,Express,25,delivered
458,Standard,40,delivered
459,Standard,15,delivered
460,Express,31,delivered
461,Standard,36,delivered
462,Express,17,delivered
463,Standard,34,delivered
464,Standard,24,delivered
465,Standard,56,delivered
466,Standard,41,delivered
467,Standard,31,delivered
468,Standard,32,delivered
469,Standard,36,delivered
470,Standard,18,delivered
471,Standard,14,delivered
472,Standard,28,delivered
473,Standard,23,delivered
474,Standard,19,delivered
475,Standard,30,delivered
476,Standard,27,delivered
477,Standard,14,delivered
478,Standard,9,delivered
479,Standard,25,delivered
480,Express,29,delivered
481,Standard,20,delivered
482,Standard,18,delivered
483,Standard,26,delivered
484,Standard,12,delivered
485,Standard,25,delivered
486,Standard,14,delivered
487,Standard,32,delivered
488,Standard,24,delivered
489,Standard,24,delivered
490,Standard,29,delivered
491,Standard,21,delivered
492,Standard,36,delivered
493,Standard,40,delivered
494,Standard,30,delivered
495,Standard,24,delivered
496,Standard,16,delivered
497,Standard,26,delivered
498,Standard,9,delivered
499,Standard,24,delivered
500,Standard,23,delivered
501,Standard,18,delivered
502,Standard,28,delivered
503,Standard,15,delivered
504,Standard,15,delivered
505,Standard,21,delivered
506,Standard,25,delivered
507,Standard,17,delivered
508,Standard,18,delivered
509,Standard,28,delivered
510,Standard,29,delivered
511,Standard,24,delivered
512,Standard,15,delivered
513,Standard,10,delivered
514,Standard,23,delivered
515,Standard,23,delivered
516,Standard,18,delivered
517,Standard,24,delivered
518,Standard,22,delivered
519,Express,36,delivered
520,Standard,31,delivered
521,Standard,8,delivered
522,Standard,22,delivered
523,Standard,27,delivered
524,Standard,24,delivered
525,Standard,27,delivered
526,Standard,20,delivered
527,Standard,30,delivered
528,Standard,19,delivered
529,Standard,12,delivered
530,Standard,33,delivered
531,Standard,20,delivered
532,Standard,3,delivered
533,Standard,24,delivered
534,Standard,28,delivered
535,Standard,9,delivered
536,Standard,22,delivered
537,Standard,27,delivered
538,Standard,40,delivered
539,Standard,16,delivered
540,Standard,11,delivered
541,Standard,37,shipped
542,Standard,30,delivered
543,Standard,9,delivered
544,Standard,18,delivered
545,Standard,23,delivered
546,Standard,20,delivered
547,Standard,39,delivered
548,Standard,13,delivered
549,Standard,25,delivered
550,Standard,31,delivered
551,Standard,26,delivered
552,Standard,28,delivered
553,Standard,15,delivered
554,Standard,9,delivered
555,Standard,12,delivered
556,Standard,21,delivered
557,Standard,24,delivered
558,Standard,11,delivered
559,Standard,20,delivered
560,Standard,40,delivered
561,Standard,25,delivered
562,Standard,5,delivered
563,Standard,14,delivered
564,Standard,22,delivered
565,Standard,22,delivered
566,Standard,22,delivered
567,Standard,22,delivered
568,Standard,12,delivered
569,Standard,32,delivered
570,Standard,14,delivered
571,Standard,26,delivered
572,Standard,34,delivered
573,Standard,21,delivered
574,Standard,19,delivered
575,Standard,31,delivered
576,Standard,34,delivered
577,Standard,15,delivered
578,Standard,18,delivered
579,Standard,13,delivered
580,Standard,23,delivered
581,Standard,20,delivered
582,Standard,32,delivered
583,Standard,17,delivered
584,Express,20,shipped
585,Standard,25,delivered
586,Standard,30,delivered
587,Standard,15,unavailable
588,Standard,40,delivered
589,Standard,24,delivered
590,Standard,34,delivered
591,Express,14,delivered
592,Express,32,delivered
593,Standard,36,delivered
594,Standard,21,delivered
595,Standard,25,delivered
596,Standard,18,delivered
597,Standard,27,delivered
598,Standard,35,delivered
599,Standard,24,delivered
600,Standard,36,delivered
601,Standard,8,delivered
602,Standard,24,delivered
603,Standard,25,delivered
604,Standard,38,delivered
605,Standard,34,delivered
606,Standard,18,delivered
607,Standard,26,delivered
608,Standard,32,delivered
609,Standard,16,delivered
610,Standard,18,delivered
611,Standard,24,delivered
612,Standard,19,delivered
613,Standard,31,delivered
614,Standard,26,canceled
615,Standard,22,delivered
616,Standard,18,delivered
617,Standard,30,delivered
618,Standard,21,delivered
619,Standard,19,delivered
620,Standard,31,delivered
621,Standard,21,delivered
622,Standard,18,delivered
623,Standard,11,delivered
624,Standard,29,delivered
625,Standard,18,delivered
626,Standard,28,delivered
627,Standard,19,delivered
628,Standard,22,delivered
629,Standard,11,delivered
630,Standard,25,delivered
631,Standard,23,delivered
632,Standard,19,delivered
633,Standard,23,delivered
634,Standard,19,delivered
635,Standard,20,delivered
636,Standard,22,delivered
637,Standard,17,delivered
638,Standard,7,delivered
639,Standard,19,delivered
640,Standard,22,delivered
641,Standard,23,delivered
642,Standard,27,delivered
643,Standard,30,delivered
644,Standard,26,delivered
645,Standard,22,delivered
646,Standard,35,delivered
647,Standard,30,delivered
648,Standard,31,delivered
649,Standard,22,delivered
650,Standard,16,delivered
651,Standard,8,delivered
652,Standard,18,delivered
653,Standard,15,delivered
654,Standard,22,delivered
655,Standard,23,delivered
656,Standard,19,delivered
657,Standard,20,delivered
658,Standard,15,delivered
659,Standard,27,delivered
660,Standard,13,delivered
661,Standard,22,delivered
662,Standard,33,delivered
663,Standard,19,delivered
664,Standard,21,delivered
665,Standard,12,delivered
666,Standard,16,delivered
667,Standard,27,delivered
668,Standard,24,delivered
669,Standard,16,delivered
670,Standard,21,delivered
671,Express,42,delivered
672,Express,25,delivered
673,Express,24,delivered
674,Standard,19,delivered
675,Standard,23,delivered
676,Standard,24,delivered
677,Standard,19,delivered
678,Standard,16,delivered
679,Standard,31,delivered
680,Standard,16,delivered
681,Standard,19,delivered
682,Standard,18,delivered
683,Express,21,delivered
684,Standard,29,delivered
685,Standard,13,delivered
686,Standard,30,delivered
687,Standard,23,delivered
688,Standard,21,unavailable
689,Standard,21,delivered
690,Standard,30,delivered
691,Standard,20,delivered
692,Standard,5,delivered
693,Standard,30,delivered
694,Standard,21,delivered
695,Standard,18,delivered
696,Standard,11,delivered
697,Standard,42,delivered
698,Standard,20,delivered
699,Standard,28,delivered
700,Standard,54,delivered
701,Standard,12,delivered
702,Standard,38,delivered
703,Standard,28,delivered
704,Standard,26,delivered
705,Standard,23,delivered
706,Standard,32,delivered
707,Express,32,delivered
708,Express,31,delivered
709,Standard,26,delivered
710,Standard,24,delivered
711,Standard,19,delivered
712,Standard,8,delivered
713,Standard,15,delivered
714,Standard,25,delivered
715,Standard,24,delivered
716,Standard,28,delivered
717,Standard,20,shipped
718,Standard,22,delivered
719,Standard,12,delivered
720,Standard,18,delivered
721,Standard,27,delivered
722,Standard,21,delivered
723,Standard,13,delivered
724,Standard,28,delivered
725,Standard,9,delivered
726,Standard,34,delivered
727,Standard,46,delivered
728,Standard,23,delivered
729,Standard,16,delivered
730,Standard,6,delivered
731,Standard,25,delivered
732,Standard,22,delivered
733,Standard,30,delivered
734,Standard,17,delivered
735,Standard,22,delivered
736,Standard,12,delivered
737,Standard,24,delivered
738,Standard,28,unavailable
739,Standard,26,delivered
740,Standard,38,delivered
741,Standard,27,delivered
742,Standard,25,processing
743,Standard,20,delivered
744,Standard,22,delivered
745,Standard,34,delivered
746,Standard,19,delivered
747,Standard,12,delivered
748,Standard,23,delivered
749,Standard,31,delivered
750,Standard,11,delivered
751,Standard,17,delivered
752,Standard,30,delivered
753,Standard,26,delivered
754,Standard,26,delivered
755,Standard,22,delivered
756,Standard,33,delivered
757,Standard,42,delivered
758,Standard,23,delivered
759,Standard,18,delivered
760,Standard,13,delivered
761,Standard,33,delivered
762,Standard,23,delivered
763,Express,29,delivered
764,Standard,13,delivered
765,Standard,19,delivered
766,Standard,20,delivered
767,Standard,17,delivered
768,Standard,29,delivered
769,Standard,14,delivered
770,Standard,28,delivered
771,Standard,31,delivered
772,Standard,33,delivered
773,Standard,27,delivered
774,Standard,18,delivered
775,Standard,15,delivered
776,Standard,20,delivered
777,Standard,34,delivered
778,Standard,23,delivered
779,Standard,17,delivered
780,Standard,21,delivered
781,Standard,35,delivered
782,Standard,12,delivered
783,Standard,21,delivered
784,Standard,28,delivered
785,Standard,20,delivered
786,Standard,29,delivered
787,Standard,24,delivered
788,Standard,48,delivered
789,Standard,14,delivered
790,Standard,31,delivered
791,Express,25,delivered
792,Standard,37,delivered
793,Standard,23,delivered
794,Standard,29,delivered
795,Standard,24,delivered
796,Standard,31,delivered
797,Standard,40,delivered
798,Standard,30,delivered
799,Standard,23,delivered
800,Standard,43,delivered
801,Standard,34,delivered
802,Standard,13,delivered
803,Standard,13,delivered
804,Standard,18,delivered
805,Standard,27,delivered
806,Standard,17,delivered
807,Standard,39,delivered
808,Standard,32,delivered
809,Standard,16,delivered
810,Standard,21,delivered
811,Standard,20,delivered
812,Standard,24,delivered
813,Standard,16,delivered
814,Standard,21,delivered
815,Standard,41,delivered
816,Standard,26,delivered
817,Standard,19,delivered
818,Standard,15,delivered
819,Standard,20,delivered
820,Standard,22,delivered
821,Standard,25,delivered
822,Standard,22,delivered
823,Standard,19,delivered
824,Standard,30,delivered
825,Standard,23,delivered
826,Standard,27,delivered
827,Standard,29,delivered
828,Standard,52,delivered
829,Standard,22,delivered
830,Standard,10,delivered
831,Standard,23,delivered
832,Standard,26,delivered
833,Standard,19,delivered
834,Standard,18,delivered
835,Standard,12,delivered
836,Standard,27,delivered
837,Standard,16,delivered
838,Standard,21,delivered
839,Standard,26,delivered
840,Standard,22,delivered
841,Standard,32,delivered
842,Standard,24,delivered
843,Standard,45,delivered
844,Standard,9,delivered
845,Standard,20,delivered
846,Express,24,delivered
847,Standard,19,delivered
848,Standard,25,delivered
849,Standard,25,delivered
850,Standard,31,delivered
851,Standard,24,delivered
852,Standard,13,delivered
853,Standard,20,delivered
854,Standard,24,delivered
855,Standard,12,delivered
856,Standard,23,delivered
857,Standard,11,delivered
858,Standard,16,delivered
859,Standard,21,delivered
860,Standard,30,delivered
861,Standard,23,delivered
862,Standard,24,delivered
863,Standard,14,delivered
864,Standard,29,delivered
865,Standard,41,delivered
866,Express,9,delivered
867,Standard,23,delivered
868,Standard,12,delivered
869,Standard,21,delivered
870,Standard,16,delivered
871,Standard,24,delivered
872,Standard,20,delivered
873,Standard,16,delivered
874,Standard,27,delivered
875,Standard,23,delivered
876,Standard,29,delivered
877,Standard,19,delivered
878,Standard,25,delivered
879,Standard,20,delivered
880,Standard,25,delivered
881,Standard,9,delivered
882,Standard,21,delivered
883,Standard,7,delivered
884,Standard,27,delivered
885,Standard,24,delivered
886,Standard,17,delivered
887,Standard,41,delivered
888,Standard,23,delivered
889,Standard,34,delivered
890,Standard,21,delivered
891,Standard,29,delivered
892,Standard,25,delivered
893,Standard,19,delivered
894,Standard,17,delivered
895,Standard,41,delivered
896,Standard,19,delivered
897,Standard,39,delivered
898,Standard,29,delivered
899,Standard,19,delivered
900,Standard,13,delivered
901,Standard,25,delivered
902,Standard,29,delivered
903,Standard,32,delivered
904,Standard,37,delivered
905,Standard,29,delivered
906,Standard,11,delivered
907,Standard,32,delivered
908,Standard,28,delivered
909,Standard,38,delivered
910,Standard,20,delivered
911,Standard,5,delivered
912,Standard,17,delivered
913,Standard,20,delivered
914,Express,22,delivered
915,Standard,20,delivered
916,Standard,19,delivered
917,Standard,22,delivered
918,Standard,24,delivered
919,Standard,21,delivered
920,Standard,23,delivered
921,Standard,13,delivered
922,Standard,34,delivered
923,Standard,24,delivered
924,Standard,24,delivered
925,Standard,24,delivered
926,Standard,35,delivered
927,Standard,23,delivered
928,Standard,9,delivered
929,Standard,28,delivered
930,Standard,18,delivered
931,Express,23,delivered
932,Standard,20,delivered
933,Standard,11,delivered
934,Standard,19,delivered
935,Standard,38,delivered
936,Standard,24,delivered
937,Standard,27,delivered
938,Standard,41,delivered
939,Standard,14,delivered
940,Standard,18,delivered
941,Express,19,delivered
942,Standard,30,delivered
943,Standard,25,delivered
944,Standard,17,delivered
945,Standard,26,delivered
946,Standard,25,delivered
947,Standard,15,delivered
948,Standard,22,delivered
949,Standard,31,delivered
950,Standard,35,delivered
951,Standard,46,delivered
952,Standard,14,delivered
953,Express,11,delivered
954,Standard,16,delivered
955,Standard,30,delivered
956,Standard,5,delivered
957,Standard,19,delivered
958,Standard,31,delivered
959,Standard,22,delivered
960,Standard,42,delivered
961,Standard,33,delivered
962,Standard,22,delivered
963,Standard,64,delivered
964,Standard,14,delivered
965,Standard,17,delivered
966,Express,17,delivered
967,Standard,23,delivered
968,Standard,22,delivered
969,Standard,25,delivered
970,Standard,27,delivered
971,Standard,29,delivered
972,Standard,42,delivered
973,Standard,18,delivered
974,Standard,30,delivered
975,Standard,12,delivered
976,Standard,16,delivered
977,Standard,22,delivered
978,Standard,37,delivered
979,Standard,9,delivered
980,Standard,13,delivered
981,Standard,17,delivered
982,Standard,33,delivered
983,Standard,17,delivered
984,Standard,23,delivered
985,Standard,24,delivered
986,Standard,20,delivered
987,Standard,20,delivered
988,Standard,26,delivered
989,Standard,22,delivered
990,Standard,20,delivered
991,Standard,50,delivered
992,Standard,26,delivered
993,Standard,12,delivered
994,Standard,16,delivered
995,Express,15,delivered
996,Express,35,delivered
997,Standard,17,delivered
998,Standard,23,delivered
999,Standard,20,delivered
1000,Express,23,delivered
1001,Standard,20,delivered
1002,Standard,19,delivered
1003,Standard,11,delivered
1004,Standard,24,delivered
1005,Standard,25,delivered
1006,Standard,23,delivered
1007,Standard,26,shipped
1008,Standard,32,delivered
1009,Standard,37,delivered
1010,Standard,30,delivered
1011,Standard,22,delivered
1012,Standard,37,delivered
1013,Standard,12,delivered
1014,Standard,29,delivered
1015,Standard,18,delivered
1016,Standard,26,delivered
1017,Standard,14,delivered
1018,Standard,25,delivered
1019,Standard,25,delivered
1020,Standard,17,delivered
1021,Standard,33,delivered
1022,Standard,24,delivered
1023,Standard,33,delivered
1024,Standard,11,delivered
1025,Standard,22,delivered
1026,Standard,28,delivered
1027,Standard,34,delivered
1028,Standard,26,delivered
1029,Standard,17,delivered
1030,Standard,39,delivered
1031,Standard,39,delivered
1032,Standard,35,delivered
1033,Standard,19,delivered
1034,Standard,13,delivered
1035,Standard,8,delivered
1036,Standard,15,delivered
1037,Standard,22,delivered
1038,Standard,25,delivered
1039,Standard,15,delivered
1040,Standard,24,delivered
1041,Standard,31,delivered
1042,Standard,25,delivered
1043,Standard,20,delivered
1044,Standard,59,delivered
1045,Standard,31,delivered
1046,Standard,30,delivered
1047,Standard,13,delivered
1048,Standard,24,delivered
1049,Standard,16,delivered
1050,Standard,24,delivered
1051,Express,32,delivered
1052,Standard,34,delivered
1053,Standard,27,delivered
1054,Standard,15,delivered
1055,Standard,33,delivered
1056,Standard,2,delivered
1057,Standard,16,delivered
1058,Standard,20,delivered
1059,Standard,28,canceled
1060,Standard,28,delivered
1061,Standard,35,delivered
1062,Standard,22,delivered
1063,Standard,23,delivered
1064,Standard,27,delivered
1065,Standard,25,delivered
1066,Standard,22,delivered
1067,Standard,25,delivered
1068,Standard,30,delivered
1069,Standard,18,delivered
1070,Standard,28,delivered
1071,Standard,8,delivered
1072,Standard,31,delivered
1073,Standard,26,delivered
1074,Standard,28,delivered
1075,Express,37,delivered
1076,Standard,5,delivered
1077,Standard,10,delivered
1078,Standard,27,delivered
1079,Standard,22,delivered
1080,Standard,27,delivered
1081,Standard,17,delivered
1082,Standard,24,delivered
1083,Express,12,delivered
1084,Express,12,delivered
1085,Express,20,delivered
1086,Standard,14,delivered
1087,Standard,22,delivered
1088,Standard,18,delivered
1089,Standard,36,delivered
1090,Standard,20,delivered
1091,Standard,26,delivered
1092,Standard,27,delivered
1093,Standard,22,delivered
1094,Standard,28,delivered
1095,Standard,25,delivered
1096,Standard,26,delivered
1097,Standard,16,delivered
1098,Standard,20,delivered
1099,Standard,17,delivered
1100,Standard,23,delivered
1101,Standard,21,delivered
1102,Standard,22,delivered
1103,Standard,11,delivered
1104,Standard,7,delivered
1105,Standard,40,delivered
1106,Standard,23,delivered
1107,Standard,21,delivered
1108,Standard,16,delivered
1109,Standard,33,delivered
1110,Standard,21,delivered
1111,Standard,26,delivered
1112,Standard,32,delivered
1113,Standard,7,delivered
1114,Standard,31,delivered
1115,Standard,32,delivered
1116,Standard,24,delivered
1117,Standard,21,delivered
1118,Standard,30,delivered
1119,Standard,36,delivered
1120,Standard,21,delivered
1121,Express,36,delivered
1122,Standard,25,delivered
1123,Express,16,delivered
1124,Standard,15,delivered
1125,Standard,38,delivered
1126,Standard,31,delivered
1127,Standard,30,delivered
1128,Standard,20,delivered
1129,Standard,22,delivered
1130,Standard,14,delivered
1131,Standard,14,canceled
1132,Standard,29,delivered
1133,Standard,9,delivered
1134,Standard,13,delivered
1135,Standard,33,delivered
1136,Standard,20,delivered
1137,Standard,29,delivered
1138,Standard,20,delivered
1139,Standard,10,delivered
1140,Standard,27,delivered
1141,Standard,32,delivered
1142,Standard,29,delivered
1143,Standard,32,delivered
1144,Standard,21,delivered
1145,Standard,27,delivered
1146,Standard,23,delivered
1147,Standard,11,delivered
1148,Standard,15,delivered
1149,Standard,12,delivered
1150,Standard,13,delivered
1151,Standard,17,delivered
1152,Standard,29,delivered
1153,Standard,15,delivered
