category_key,seasonal_flag,product_category,parent_category
105,0,baby,Baby
106,0,not found,Bed
107,1,sports_leisure,Sports
108,1,bed_bath_table,Bed
109,0,small_appliances,Small_Appliances
110,0,housewares,Housewares
111,0,furniture_living_room,Furniture
112,0,sports_leisure,Sports
113,1,home_construction,Home
114,0,pet_shop,Pet
115,0,housewares,Housewares
116,0,furniture_decor,Furniture
117,1,bed_bath_table,Bed
118,0,bed_bath_table,Bed
119,1,telephony,Telephony
120,1,luggage_accessories,Luggage
121,0,perfumery,Perfumery
122,0,sports_leisure,Sports
123,0,signaling_and_security,Signaling
124,1,air_conditioning,Air_Conditioning
125,0,fashion_bags_accessories,Fashion
126,0,furniture_decor,Furniture
127,1,sports_leisure,Sports
128,0,telephony,Telephony
129,1,not found,Bed
130,1,art,Art
131,1,bed_bath_table,Bed
132,1,garden_tools,Garden
133,0,fashion_bags_accessories,Fashion
134,1,baby,Baby
135,0,consoles_games,Consoles
136,0,housewares,Housewares
137,1,luggage_accessories,Luggage
138,0,bed_bath_table,Bed
139,0,consoles_games,Consoles
140,0,sports_leisure,Sports
141,0,sports_leisure,Sports
142,0,cool_stuff,Cool_Stuff
143,0,consoles_games,Consoles
144,1,watches_gifts,Watches
145,0,toys,Toys
146,1,not found,Bed
147,0,baby,Baby
148,0,furniture_living_room,Furniture
149,1,auto,Auto
150,0,home_appliances,Home
151,1,watches_gifts,Watches
152,0,bed_bath_table,Bed
153,1,auto,Auto
154,1,sports_leisure,Sports
155,1,not found,Bed
156,1,toys,Toys
157,1,health_beauty,Health
158,1,health_beauty,Health
159,0,housewares,Housewares
160,0,garden_tools,Garden
161,0,sports_leisure,Sports
162,1,telephony,Telephony
163,1,office_furniture,Office
164,1,watches_gifts,Watches
165,1,sports_leisure,Sports
166,0,fashion_bags_accessories,Fashion
167,0,auto,Auto
168,1,housewares,Housewares
169,0,home_construction,Home
170,1,fashion_bags_accessories,Fashion
171,0,housewares,Housewares
172,0,computers_accessories,Computers
173,1,sports_leisure,Sports
174,0,stationery,Stationery
175,1,sports_leisure,Sports
176,1,telephony,Telephony
177,1,books_general_interest,Books
178,1,computers_accessories,Computers
179,0,perfumery,Perfumery
180,1,toys,Toys
181,1,costruction_tools_tools,Costruction
182,1,toys,Toys
183,0,telephony,Telephony
184,0,garden_tools,Garden
185,1,housewares,Housewares
186,1,fashion_underwear_beach,Fashion
187,0,luggage_accessories,Luggage
188,1,electronics,Electronics
189,0,housewares,Housewares
190,0,auto,Auto
191,0,fashion_shoes,Fashion
192,1,sports_leisure,Sports
193,1,construction_tools_construction,Construction
194,1,health_beauty,Health
195,0,watches_gifts,Watches
196,0,furniture_decor,Furniture
197,1,furniture_decor,Furniture
198,1,not found,Bed
199,1,bed_bath_table,Bed
200,1,cool_stuff,Cool_Stuff
201,0,housewares,Housewares
202,0,sports_leisure,Sports
203,0,stationery,Stationery
204,0,stationery,Stationery
205,1,toys,Toys
206,0,air_conditioning,Air_Conditioning
207,1,bed_bath_table,Bed
208,0,pet_shop,Pet
209,1,toys,Toys
210,0,baby,Baby
211,1,computers_accessories,Computers
212,0,bed_bath_table,Bed
213,1,perfumery,Perfumery
214,0,electronics,Electronics
215,1,toys,Toys
216,0,fashion_male_clothing,Fashion
217,0,pet_shop,Pet
218,1,baby,Baby
219,0,health_beauty,Health
220,0,watches_gifts,Watches
221,1,bed_bath_table,Bed
222,1,health_beauty,Health
223,1,toys,Toys
224,1,housewares,Housewares
225,0,luggage_accessories,Luggage
226,1,sports_leisure,Sports
227,0,stationery,Stationery
228,0,home_construction,Home
229,1,watches_gifts,Watches
230,1,bed_bath_table,Bed
231,0,cool_stuff,Cool_Stuff
232,1,sports_leisure,Sports
233,0,housewares,Housewares
234,0,art,Art
235,0,health_beauty,Health
236,0,consoles_games,Consoles
237,1,fashion_bags_accessories,Fashion
238,0,bed_bath_table,Bed
239,0,auto,Auto
240,0,computers_accessories,Computers
241,1,sports_leisure,Sports
242,0,furniture_decor,Furniture
243,0,housewares,Housewares
244,0,costruction_tools_tools,Costruction
245,0,not found,Bed
246,0,home_appliances,Home
247,1,garden_tools,Garden
248,1,kitchen_dining_laundry_garden_furniture,Kitchen
249,1,housewares,Housewares
250,0,toys,Toys
251,0,health_beauty,Health
252,0,electronics,Electronics
253,1,pet_shop,Pet
254,1,sports_leisure,Sports
255,1,baby,Baby
256,1,housewares,Housewares
257,1,baby,Baby
258,0,office_furniture,Office
259,1,luggage_accessories,Luggage
260,1,electronics,Electronics
261,1,health_beauty,Health
262,0,toys,Toys
263,0,sports_leisure,Sports
264,0,industry_commerce_and_business,Industry
265,1,computers_accessories,Computers
266,0,office_furniture,Office
267,0,telephony,Telephony
268,1,fixed_telephony,Fixed_Telephony
269,1,bed_bath_table,Bed
270,0,fashion_shoes,Fashion
271,0,cool_stuff,Cool_Stuff
272,0,construction_tools_lights,Construction
273,0,sports_leisure,Sports
274,0,housewares,Housewares
275,0,bed_bath_table,Bed
276,1,construction_tools_safety,Construction
277,0,bed_bath_table,Bed
278,0,auto,Auto
279,0,bed_bath_table,Bed
280,0,baby,Baby
281,1,toys,Toys
282,1,perfumery,Perfumery
283,0,consoles_games,Consoles
284,1,auto,Auto
285,1,computers_accessories,Computers
286,1,furniture_decor,Furniture
287,1,watches_gifts,Watches
288,1,auto,Auto
289,1,musical_instruments,Musical
290,0,sports_leisure,Sports
291,0,health_beauty,Health
292,0,consoles_games,Consoles
293,0,health_beauty,Health
294,0,construction_tools_construction,Construction
295,0,not found,Bed
296,0,computers_accessories,Computers
297,1,furniture_decor,Furniture
298,1,fashion_bags_accessories,Fashion
299,0,furniture_decor,Furniture
300,1,not found,Bed
301,1,furniture_decor,Furniture
302,1,watches_gifts,Watches
303,0,construction_tools_construction,Construction
304,1,furniture_decor,Furniture
305,0,luggage_accessories,Luggage
306,0,furniture_decor,Furniture
307,0,fashion_male_clothing,Fashion
308,1,computers_accessories,Computers
309,1,pet_shop,Pet
310,1,garden_tools,Garden
311,1,fashion_shoes,Fashion
312,0,bed_bath_table,Bed
313,0,garden_tools,Garden
314,0,air_conditioning,Air_Conditioning
315,1,furniture_decor,Furniture
316,1,fashion_shoes,Fashion
317,0,telephony,Telephony
318,1,auto,Auto
319,0,auto,Auto
320,1,auto,Auto
321,1,housewares,Housewares
322,0,baby,Baby
323,0,consoles_games,Consoles
324,0,fashion_bags_accessories,Fashion
325,0,telephony,Telephony
326,1,health_beauty,Health
327,0,sports_leisure,Sports
328,0,garden_tools,Garden
329,0,bed_bath_table,Bed
330,1,books_technical,Books
331,0,sports_leisure,Sports
332,0,sports_leisure,Sports
333,0,health_beauty,Health
334,0,cool_stuff,Cool_Stuff
335,1,perfumery,Perfumery
336,1,health_beauty,Health
337,1,electronics,Electronics
338,1,garden_tools,Garden
339,1,furniture_decor,Furniture
340,1,home_appliances_2,Home
341,0,fashion_bags_accessories,Fashion
342,1,consoles_games,Consoles
343,0,musical_instruments,Musical
344,1,bed_bath_table,Bed
345,1,office_furniture,Office
346,0,baby,Baby
347,0,bed_bath_table,Bed
348,0,not found,Bed
349,1,party_supplies,Party
350,1,fashion_bags_accessories,Fashion
351,0,luggage_accessories,Luggage
352,0,luggage_accessories,Luggage
353,1,fashion_bags_accessories,Fashion
354,0,health_beauty,Health
355,1,stationery,Stationery
356,1,bed_bath_table,Bed
357,1,telephony,Telephony
358,1,air_conditioning,Air_Conditioning
359,0,stationery,Stationery
360,1,watches_gifts,Watches
361,0,bed_bath_table,Bed
362,0,stationery,Stationery
363,0,construction_tools_lights,Construction
364,1,office_furniture,Office
365,1,baby,Baby
366,1,sports_leisure,Sports
367,0,sports_leisure,Sports
368,0,sports_leisure,Sports
369,1,telephony,Telephony
370,0,auto,Auto
371,0,stationery,Stationery
372,1,computers_accessories,Computers
373,0,watches_gifts,Watches
374,1,baby,Baby
375,1,perfumery,Perfumery
376,0,bed_bath_table,Bed
377,1,cool_stuff,Cool_Stuff
378,1,sports_leisure,Sports
379,1,fashion_bags_accessories,Fashion
380,0,auto,Auto
381,0,sports_leisure,Sports
382,1,health_beauty,Health
383,0,toys,Toys
384,0,housewares,Housewares
385,0,telephony,Telephony
386,0,garden_tools,Garden
387,0,furniture_decor,Furniture
388,0,housewares,Housewares
389,0,books_general_interest,Books
390,1,housewares,Housewares
391,0,office_furniture,Office
392,0,bed_bath_table,Bed
393,1,furniture_decor,Furniture
394,0,furniture_decor,Furniture
395,0,bed_bath_table,Bed
396,1,garden_tools,Garden
397,0,computers_accessories,Computers
398,0,computers_accessories,Computers
399,1,housewares,Housewares
400,1,drinks,Drinks
401,0,bed_bath_table,Bed
402,0,health_beauty,Health
403,1,telephony,Telephony
404,0,baby,Baby
405,0,pet_shop,Pet
406,0,watches_gifts,Watches
407,1,small_appliances,Small_Appliances
408,1,sports_leisure,Sports
409,0,bed_bath_table,Bed
410,0,health_beauty,Health
411,0,telephony,Telephony
412,1,market_place,Market_Place
413,0,auto,Auto
414,0,perfumery,Perfumery
415,0,sports_leisure,Sports
416,0,perfumery,Perfumery
417,0,home_construction,Home
418,0,housewares,Housewares
419,1,sports_leisure,Sports
420,0,toys,Toys
421,0,la_cuisine,La_Cuisine
422,1,sports_leisure,Sports
423,0,furniture_decor,Furniture
424,1,office_furniture,Office
425,0,sports_leisure,Sports
426,0,bed_bath_table,Bed
427,1,cool_stuff,Cool_Stuff
428,0,cool_stuff,Cool_Stuff
429,1,not found,Bed
430,0,books_technical,Books
431,1,health_beauty,Health
432,0,health_beauty,Health
433,1,toys,Toys
434,0,computers_accessories,Computers
435,1,housewares,Housewares
436,0,bed_bath_table,Bed
437,1,not found,Bed
438,1,perfumery,Perfumery
439,1,auto,Auto
440,0,perfumery,Perfumery
441,0,telephony,Telephony
442,0,telephony,Telephony
443,0,housewares,Housewares
444,1,electronics,Electronics
445,0,consoles_games,Consoles
446,0,housewares,Housewares
447,0,housewares,Housewares
448,0,housewares,Housewares
449,0,fashion_bags_accessories,Fashion
450,0,auto,Auto
451,0,costruction_tools_tools,Costruction
452,0,computers_accessories,Computers
453,1,bed_bath_table,Bed
454,1,perfumery,Perfumery
455,1,sports_leisure,Sports
456,1,auto,Auto
457,1,furniture_decor,Furniture
458,1,furniture_decor,Furniture
459,0,pet_shop,Pet
460,1,not found,Bed
461,0,furniture_decor,Furniture
462,0,furniture_decor,Furniture
463,0,sports_leisure,Sports
464,1,furniture_decor,Furniture
465,0,auto,Auto
466,0,sports_leisure,Sports
467,1,small_appliances,Small_Appliances
468,1,health_beauty,Health
469,0,bed_bath_table,Bed
470,0,computers_accessories,Computers
471,0,housewares,Housewares
472,1,housewares,Housewares
473,0,cool_stuff,Cool_Stuff
474,0,drinks,Drinks
475,0,baby,Baby
476,0,musical_instruments,Musical
477,0,bed_bath_table,Bed
478,1,stationery,Stationery
479,0,auto,Auto
480,0,fashion_bags_accessories,Fashion
481,0,stationery,Stationery
482,0,furniture_decor,Furniture
483,0,home_appliances,Home
484,1,home_construction,Home
485,1,sports_leisure,Sports
486,1,furniture_living_room,Furniture
487,1,housewares,Housewares
488,0,luggage_accessories,Luggage
489,0,watches_gifts,Watches
490,1,health_beauty,Health
491,1,computers_accessories,Computers
492,0,housewares,Housewares
493,1,housewares,Housewares
494,0,bed_bath_table,Bed
495,1,health_beauty,Health
496,1,housewares,Housewares
497,0,telephony,Telephony
498,1,computers_accessories,Computers
499,1,costruction_tools_garden,Costruction
500,1,cool_stuff,Cool_Stuff
501,0,perfumery,Perfumery
502,0,bed_bath_table,Bed
503,1,auto,Auto
504,0,health_beauty,Health
505,1,not found,Bed
506,0,health_beauty,Health
507,0,watches_gifts,Watches
508,1,sports_leisure,Sports
509,0,health_beauty,Health
510,1,housewares,Housewares
511,0,signaling_and_security,Signaling
512,0,fashion_bags_accessories,Fashion
513,1,telephony,Telephony
514,0,sports_leisure,Sports
515,1,not found,Bed
516,0,fashion_male_clothing,Fashion
517,1,health_beauty,Health
518,1,watches_gifts,Watches
519,1,auto,Auto
520,1,watches_gifts,Watches
521,0,books_technical,Books
522,0,computers_accessories,Computers
523,0,cool_stuff,Cool_Stuff
524,0,furniture_decor,Furniture
525,1,health_beauty,Health
526,1,consoles_games,Consoles
527,1,toys,Toys
528,0,bed_bath_table,Bed
529,0,toys,Toys
530,1,health_beauty,Health
531,1,toys,Toys
532,0,bed_bath_table,Bed
533,0,housewares,Housewares
534,0,toys,Toys
535,0,watches_gifts,Watches
536,1,health_beauty,Health
537,1,bed_bath_table,Bed
538,1,furniture_decor,Furniture
539,1,housewares,Housewares
540,0,construction_tools_construction,Construction
541,1,bed_bath_table,Bed
542,0,computers_accessories,Computers
543,1,luggage_accessories,Luggage
544,1,health_beauty,Health
545,1,home_appliances,Home
546,0,housewares,Housewares
547,1,computers_accessories,Computers
548,1,housewares,Housewares
549,0,furniture_decor,Furniture
550,1,perfumery,Perfumery
551,1,fashio_female_clothing,Fashion
552,1,cool_stuff,Cool_Stuff
553,0,not found,Bed
554,1,housewares,Housewares
555,0,housewares,Housewares
556,1,auto,Auto
557,0,sports_leisure,Sports
558,0,fashion_bags_accessories,Fashion
559,0,stationery,Stationery
560,0,construction_tools_safety,Construction
561,1,industry_commerce_and_business,Industry
562,1,cool_stuff,Cool_Stuff
563,1,health_beauty,Health
564,0,bed_bath_table,Bed
565,1,toys,Toys
566,0,home_appliances_2,Home
567,0,health_beauty,Health
568,1,bed_bath_table,Bed
569,1,health_beauty,Health
570,1,home_appliances,Home
571,0,construction_tools_construction,Construction
572,1,sports_leisure,Sports
573,0,garden_tools,Garden
574,1,perfumery,Perfumery
575,0,fashion_bags_accessories,Fashion
576,1,bed_bath_table,Bed
577,0,bed_bath_table,Bed
578,1,home_confort,Home
579,0,bed_bath_table,Bed
580,0,cool_stuff,Cool_Stuff
581,1,computers_accessories,Computers
582,1,bed_bath_table,Bed
583,0,cool_stuff,Cool_Stuff
584,0,bed_bath_table,Bed
585,0,watches_gifts,Watches
586,0,garden_tools,Garden
587,0,fashion_underwear_beach,Fashion
588,1,watches_gifts,Watches
589,1,sports_leisure,Sports
590,1,garden_tools,Garden
591,0,watches_gifts,Watches
592,1,audio,Audio
593,1,health_beauty,Health
594,1,food_drink,Food
595,1,computers_accessories,Computers
596,0,housewares,Housewares
597,1,auto,Auto
598,0,sports_leisure,Sports
599,1,health_beauty,Health
600,1,furniture_decor,Furniture
601,1,baby,Baby
602,0,sports_leisure,Sports
603,0,health_beauty,Health
604,0,cool_stuff,Cool_Stuff
605,1,furniture_decor,Furniture
606,0,computers_accessories,Computers
607,0,telephony,Telephony
608,0,consoles_games,Consoles
609,1,computers_accessories,Computers
610,1,drinks,Drinks
611,1,health_beauty,Health
612,1,furniture_decor,Furniture
613,0,bed_bath_table,Bed
614,1,auto,Auto
615,1,sports_leisure,Sports
616,0,housewares,Housewares
617,1,not found,Bed
618,0,small_appliances,Small_Appliances
619,1,computers_accessories,Computers
620,0,bed_bath_table,Bed
621,0,furniture_decor,Furniture
622,1,bed_bath_table,Bed
623,1,housewares,Housewares
624,1,furniture_decor,Furniture
625,1,bed_bath_table,Bed
626,0,bed_bath_table,Bed
627,1,health_beauty,Health
628,1,not found,Bed
629,1,not found,Bed
630,1,furniture_decor,Furniture
631,1,garden_tools,Garden
632,1,auto,Auto
633,0,sports_leisure,Sports
634,0,construction_tools_construction,Construction
635,1,furniture_decor,Furniture
636,1,bed_bath_table,Bed
637,1,cool_stuff,Cool_Stuff
638,1,telephony,Telephony
639,0,cool_stuff,Cool_Stuff
640,1,stationery,Stationery
641,0,watches_gifts,Watches
642,0,health_beauty,Health
643,1,kitchen_dining_laundry_garden_furniture,Kitchen
644,0,baby,Baby
645,1,costruction_tools_garden,Costruction
646,1,pet_shop,Pet
647,0,garden_tools,Garden
648,1,pet_shop,Pet
649,1,party_supplies,Party
650,1,bed_bath_table,Bed
651,1,pet_shop,Pet
652,1,construction_tools_construction,Construction
653,1,music,Music
654,1,cool_stuff,Cool_Stuff
655,0,office_furniture,Office
656,0,telephony,Telephony
657,1,electronics,Electronics
658,1,health_beauty,Health
659,1,watches_gifts,Watches
660,0,construction_tools_construction,Construction
661,1,toys,Toys
662,1,health_beauty,Health
663,1,housewares,Housewares
664,0,fixed_telephony,Fixed_Telephony
665,1,watches_gifts,Watches
666,1,perfumery,Perfumery
667,0,bed_bath_table,Bed
668,1,auto,Auto
669,1,auto,Auto
670,0,telephony,Telephony
671,1,computers_accessories,Computers
672,1,luggage_accessories,Luggage
673,1,books_technical,Books
674,1,toys,Toys
675,0,bed_bath_table,Bed
676,1,furniture_decor,Furniture
677,0,housewares,Housewares
678,0,toys,Toys
679,0,furniture_decor,Furniture
680,0,fashion_bags_accessories,Fashion
681,1,toys,Toys
682,0,bed_bath_table,Bed
683,1,furniture_decor,Furniture
684,0,consoles_games,Consoles
685,1,computers_accessories,Computers
686,1,computers_accessories,Computers
687,0,cool_stuff,Cool_Stuff
688,1,stationery,Stationery
689,0,telephony,Telephony
690,0,stationery,Stationery
691,0,auto,Auto
692,0,kitchen_dining_laundry_garden_furniture,Kitchen
693,0,toys,Toys
694,0,health_beauty,Health
695,1,computers_accessories,Computers
696,1,telephony,Telephony
697,0,not found,Bed
698,1,market_place,Market_Place
699,0,toys,Toys
700,0,health_beauty,Health
701,0,not found,Bed
702,0,furniture_decor,Furniture
703,1,sports_leisure,Sports
704,1,sports_leisure,Sports
705,1,auto,Auto
706,1,furniture_decor,Furniture
707,1,sports_leisure,Sports
708,0,sports_leisure,Sports
709,0,telephony,Telephony
710,1,books_technical,Books
711,1,music,Music
712,1,computers_accessories,Computers
713,1,housewares,Housewares
714,1,housewares,Housewares
715,0,fashion_underwear_beach,Fashion
716,0,housewares,Housewares
717,0,housewares,Housewares
718,1,fashion_shoes,Fashion
719,0,musical_instruments,Musical
720,0,housewares,Housewares
721,1,agro_industry_and_commerce,Agro
722,1,not found,Bed
723,0,fashion_bags_accessories,Fashion
724,0,toys,Toys
725,1,stationery,Stationery
726,0,furniture_decor,Furniture
727,1,perfumery,Perfumery
728,0,bed_bath_table,Bed
729,1,health_beauty,Health
730,1,sports_leisure,Sports
731,0,perfumery,Perfumery
732,0,construction_tools_construction,Construction
733,1,fashion_male_clothing,Fashion
734,1,auto,Auto
735,1,bed_bath_table,Bed
736,1,cool_stuff,Cool_Stuff
737,1,not found,Bed
738,0,food,Food
739,1,perfumery,Perfumery
740,1,pet_shop,Pet
741,0,party_supplies,Party
742,1,auto,Auto
743,0,auto,Auto
744,0,auto,Auto
745,0,stationery,Stationery
746,1,luggage_accessories,Luggage
747,1,health_beauty,Health
748,0,sports_leisure,Sports
749,0,not found,Bed
750,1,luggage_accessories,Luggage
751,0,baby,Baby
752,1,not found,Bed
753,0,auto,Auto
754,1,sports_leisure,Sports
755,0,auto,Auto
756,1,bed_bath_table,Bed
757,0,health_beauty,Health
758,1,food_drink,Food
759,1,auto,Auto
760,0,bed_bath_table,Bed
761,0,sports_leisure,Sports
762,0,not found,Bed
763,0,health_beauty,Health
764,1,housewares,Housewares
765,0,toys,Toys
766,1,bed_bath_table,Bed
767,1,musical_instruments,Musical
768,1,telephony,Telephony
769,0,electronics,Electronics
770,0,consoles_games,Consoles
771,0,furniture_decor,Furniture
772,0,health_beauty,Health
773,0,sports_leisure,Sports
774,1,bed_bath_table,Bed
775,1,books_technical,Books
776,0,fixed_telephony,Fixed_Telephony
777,1,sports_leisure,Sports
778,0,cool_stuff,Cool_Stuff
779,1,health_beauty,Health
780,1,fashion_bags_accessories,Fashion
781,1,perfumery,Perfumery
782,0,computers_accessories,Computers
783,0,furniture_decor,Furniture
784,0,auto,Auto
785,0,watches_gifts,Watches
786,1,housewares,Housewares
787,1,sports_leisure,Sports
788,1,housewares,Housewares
789,1,furniture_decor,Furniture
790,1,telephony,Telephony
791,1,bed_bath_table,Bed
792,1,health_beauty,Health
793,0,toys,Toys
794,0,watches_gifts,Watches
795,0,bed_bath_table,Bed
796,0,bed_bath_table,Bed
797,1,toys,Toys
798,0,bed_bath_table,Bed
799,1,telephony,Telephony
800,1,cool_stuff,Cool_Stuff
801,1,party_supplies,Party
802,0,pet_shop,Pet
803,1,sports_leisure,Sports
804,1,watches_gifts,Watches
805,1,home_confort,Home
806,1,pet_shop,Pet
807,1,toys,Toys
808,0,telephony,Telephony
809,0,watches_gifts,Watches
810,0,sports_leisure,Sports
811,0,auto,Auto
812,1,consoles_games,Consoles
813,0,health_beauty,Health
814,0,telephony,Telephony
815,0,computers_accessories,Computers
816,1,sports_leisure,Sports
817,0,auto,Auto
818,0,kitchen_dining_laundry_garden_furniture,Kitchen
819,1,auto,Auto
820,1,telephony,Telephony
821,0,housewares,Housewares
822,1,bed_bath_table,Bed
823,0,furniture_decor,Furniture
824,1,sports_leisure,Sports
825,1,toys,Toys
826,0,auto,Auto
827,1,pet_shop,Pet
828,1,perfumery,Perfumery
829,0,sports_leisure,Sports
830,1,health_beauty,Health
831,0,auto,Auto
832,1,bed_bath_table,Bed
833,0,auto,Auto
834,1,sports_leisure,Sports
835,1,bed_bath_table,Bed
836,1,perfumery,Perfumery
837,0,computers_accessories,Computers
838,1,sports_leisure,Sports
839,0,pet_shop,Pet
840,1,electronics,Electronics
841,0,home_construction,Home
842,1,telephony,Telephony
843,0,auto,Auto
844,1,sports_leisure,Sports
845,0,sports_leisure,Sports
846,1,bed_bath_table,Bed
847,0,computers_accessories,Computers
848,1,housewares,Housewares
849,1,sports_leisure,Sports
850,1,baby,Baby
851,1,housewares,Housewares
852,1,health_beauty,Health
853,0,construction_tools_construction,Construction
854,0,luggage_accessories,Luggage
855,1,tablets_printing_image,Tablets
856,0,health_beauty,Health
857,1,baby,Baby
858,1,housewares,Housewares
859,0,auto,Auto
860,0,fashion_bags_accessories,Fashion
861,0,bed_bath_table,Bed
862,0,electronics,Electronics
863,1,bed_bath_table,Bed
864,0,toys,Toys
865,1,books_general_interest,Books
866,1,sports_leisure,Sports
867,0,furniture_decor,Furniture
868,0,telephony,Telephony
869,1,food_drink,Food
870,0,computers_accessories,Computers
871,0,cool_stuff,Cool_Stuff
872,1,bed_bath_table,Bed
873,1,furniture_decor,Furniture
874,1,furniture_decor,Furniture
875,1,home_appliances,Home
876,0,stationery,Stationery
877,0,construction_tools_construction,Construction
878,0,health_beauty,Health
879,0,furniture_living_room,Furniture
880,0,health_beauty,Health
881,1,computers_accessories,Computers
882,1,books_imported,Books
883,0,fashion_bags_accessories,Fashion
884,1,housewares,Housewares
885,0,construction_tools_construction,Construction
886,0,health_beauty,Health
887,0,auto,Auto
888,0,fashion_bags_accessories,Fashion
889,1,computers_accessories,Computers
890,1,costruction_tools_garden,Costruction
891,1,furniture_decor,Furniture
892,0,auto,Auto
893,0,food,Food
894,1,not found,Bed
895,0,computers_accessories,Computers
896,1,toys,Toys
897,0,watches_gifts,Watches
898,0,health_beauty,Health
899,1,toys,Toys
900,0,housewares,Housewares
901,1,consoles_games,Consoles
902,1,luggage_accessories,Luggage
903,1,costruction_tools_garden,Costruction
904,0,auto,Auto
905,1,home_appliances_2,Home
906,1,luggage_accessories,Luggage
907,0,furniture_decor,Furniture
908,1,auto,Auto
909,1,perfumery,Perfumery
910,0,health_beauty,Health
911,1,not found,Bed
912,1,pet_shop,Pet
913,1,luggage_accessories,Luggage
914,0,perfumery,Perfumery
915,0,computers_accessories,Computers
916,0,small_appliances,Small_Appliances
917,1,toys,Toys
918,0,watches_gifts,Watches
919,1,toys,Toys
920,1,furniture_decor,Furniture
921,1,computers_accessories,Computers
922,0,pet_shop,Pet
923,0,home_confort,Home
924,0,health_beauty,Health
925,1,stationery,Stationery
926,0,watches_gifts,Watches
927,1,furniture_decor,Furniture
928,1,baby,Baby
929,1,sports_leisure,Sports
930,1,housewares,Housewares
931,1,health_beauty,Health
932,0,sports_leisure,Sports
933,1,air_conditioning,Air_Conditioning
934,1,toys,Toys
935,1,watches_gifts,Watches
936,1,bed_bath_table,Bed
937,0,books_technical,Books
938,0,toys,Toys
939,1,furniture_decor,Furniture
940,0,bed_bath_table,Bed
941,0,sports_leisure,Sports
942,1,auto,Auto
943,1,furniture_decor,Furniture
944,1,telephony,Telephony
945,0,bed_bath_table,Bed
946,0,cool_stuff,Cool_Stuff
947,0,pet_shop,Pet
948,0,fixed_telephony,Fixed_Telephony
949,1,fashion_bags_accessories,Fashion
950,1,health_beauty,Health
951,1,housewares,Housewares
952,1,cool_stuff,Cool_Stuff
953,0,toys,Toys
954,1,housewares,Housewares
955,0,garden_tools,Garden
956,0,not found,Bed
957,0,garden_tools,Garden
958,1,telephony,Telephony
959,1,sports_leisure,Sports
960,0,home_appliances,Home
961,1,health_beauty,Health
962,1,electronics,Electronics
