full_date,date_key,day_of_week,month,year,month_name,quarter,week_of_year,day
2015-04-27,20150427,Monday,4,2015,April,2,18,0
2015-04-28,20150428,Tuesday,4,2015,April,2,18,1
2015-04-29,20150429,Wednesday,4,2015,April,2,18,2
2015-04-30,20150430,Thursday,4,2015,April,2,18,3
2015-05-01,20150501,Friday,5,2015,May,2,18,4
2015-05-02,20150502,Saturday,5,2015,May,2,18,5
2015-05-03,20150503,Sunday,5,2015,May,2,18,6
2015-05-04,20150504,Monday,5,2015,May,2,19,0
2015-05-05,20150505,Tuesday,5,2015,May,2,19,1
2015-05-06,20150506,Wednesday,5,2015,May,2,19,2
2015-05-07,20150507,Thursday,5,2015,May,2,19,3
2015-05-08,20150508,Friday,5,2015,May,2,19,4
2015-05-09,20150509,Saturday,5,2015,May,2,19,5
2015-05-10,20150510,Sunday,5,2015,May,2,19,6
2015-05-11,20150511,Monday,5,2015,May,2,20,0
2015-05-12,20150512,Tuesday,5,2015,May,2,20,1
2015-05-13,20150513,Wednesday,5,2015,May,2,20,2
2015-05-14,20150514,Thursday,5,2015,May,2,20,3
2015-05-15,20150515,Friday,5,2015,May,2,20,4
2015-05-16,20150516,Saturday,5,2015,May,2,20,5
2015-05-17,20150517,Sunday,5,2015,May,2,20,6
2015-05-18,20150518,Monday,5,2015,May,2,21,0
2015-05-19,20150519,Tuesday,5,2015,May,2,21,1
2015-05-20,20150520,Wednesday,5,2015,May,2,21,2
2015-05-21,20150521,Thursday,5,2015,May,2,21,3
2015-05-22,20150522,Friday,5,2015,May,2,21,4
2015-05-23,20150523,Saturday,5,2015,May,2,21,5
2015-05-24,20150524,Sunday,5,2015,May,2,21,6
2015-05-25,20150525,Monday,5,2015,May,2,22,0
2015-05-26,20150526,Tuesday,5,2015,May,2,22,1
2015-05-27,20150527,Wednesday,5,2015,May,2,22,2
2015-05-28,20150528,Thursday,5,2015,May,2,22,3
2015-05-29,20150529,Friday,5,2015,May,2,22,4
2015-05-30,20150530,Saturday,5,2015,May,2,22,5
2015-05-31,20150531,Sunday,5,2015,May,2,22,6
2015-06-01,20150601,Monday,6,2015,June,2,23,0
2015-06-02,20150602,Tuesday,6,2015,June,2,23,1
2015-06-03,20150603,Wednesday,6,2015,June,2,23,2
2015-06-04,20150604,Thursday,6,2015,June,2,23,3
2015-06-05,20150605,Friday,6,2015,June,2,23,4
2015-06-06,20150606,Saturday,6,2015,June,2,23,5
2015-06-07,20150607,Sunday,6,2015,June,2,23,6
2015-06-08,20150608,Monday,6,2015,June,2,24,0
2015-06-09,20150609,Tuesday,6,2015,June,2,24,1
2015-06-10,20150610,Wednesday,6,2015,June,2,24,2
2015-06-11,20150611,Thursday,6,2015,June,2,24,3
2015-06-12,20150612,Friday,6,2015,June,2,24,4
2015-06-13,20150613,Saturday,6,2015,June,2,24,5
2015-06-14,20150614,Sunday,6,2015,June,2,24,6
2015-06-15,20150615,Monday,6,2015,June,2,25,0
2015-06-16,20150616,Tuesday,6,2015,June,2,25,1
2015-06-17,20150617,Wednesday,6,2015,June,2,25,2
2015-06-18,20150618,Thursday,6,2015,June,2,25,3
2015-06-19,20150619,Friday,6,2015,June,2,25,4
2015-06-20,20150620,Saturday,6,2015,June,2,25,5
2015-06-21,20150621,Sunday,6,2015,June,2,25,6
2015-06-22,20150622,Monday,6,2015,June,2,26,0
2015-06-23,20150623,Tuesday,6,2015,June,2,26,1
2015-06-24,20150624,Wednesday,6,2015,June,2,26,2
2015-06-25,20150625,Thursday,6,2015,June,2,26,3
2015-06-26,20150626,Friday,6,2015,June,2,26,4
2015-06-27,20150627,Saturday,6,2015,June,2,26,5
2015-06-28,20150628,Sunday,6,2015,June,2,26,6
2015-06-29,20150629,Monday,6,2015,June,2,27,0
2015-06-30,20150630,Tuesday,6,2015,June,2,27,1
2015-07-01,20150701,Wednesday,7,2015,July,3,27,2
2015-07-02,20150702,Thursday,7,2015,July,3,27,3
2015-07-03,20150703,Friday,7,2015,July,3,27,4
2015-07-04,20150704,Saturday,7,2015,July,3,27,5
2015-07-05,20150705,Sunday,7,2015,July,3,27,6
2015-07-06,20150706,Monday,7,2015,July,3,28,0
2015-07-07,20150707,Tuesday,7,2015,July,3,28,1
2015-07-08,20150708,Wednesday,7,2015,July,3,28,2
2015-07-09,20150709,Thursday,7,2015,July,3,28,3
2015-07-10,20150710,Friday,7,2015,July,3,28,4
2015-07-11,20150711,Saturday,7,2015,July,3,28,5
2015-07-12,20150712,Sunday,7,2015,July,3,28,6
2015-07-13,20150713,Monday,7,2015,July,3,29,0
2015-07-14,20150714,Tuesday,7,2015,July,3,29,1
2015-07-15,20150715,Wednesday,7,2015,July,3,29,2
2015-07-16,20150716,Thursday,7,2015,July,3,29,3
2015-07-17,20150717,Friday,7,2015,July,3,29,4
2015-07-18,20150718,Saturday,7,2015,July,3,29,5
2015-07-19,20150719,Sunday,7,2015,July,3,29,6
2015-07-20,20150720,Monday,7,2015,July,3,30,0
2015-07-21,20150721,Tuesday,7,2015,July,3,30,1
2015-07-22,20150722,Wednesday,7,2015,July,3,30,2
2015-07-23,20150723,Thursday,7,2015,July,3,30,3
2015-07-24,20150724,Friday,7,2015,July,3,30,4
2015-07-25,20150725,Saturday,7,2015,July,3,30,5
2015-07-26,20150726,Sunday,7,2015,July,3,30,6
2015-07-27,20150727,Monday,7,2015,July,3,31,0
2015-07-28,20150728,Tuesday,7,2015,July,3,31,1
2015-07-29,20150729,Wednesday,7,2015,July,3,31,2
2015-07-30,20150730,Thursday,7,2015,July,3,31,3
2015-07-31,20150731,Friday,7,2015,July,3,31,4
2015-08-01,20150801,Saturday,8,2015,August,3,31,5
2015-08-02,20150802,Sunday,8,2015,August,3,31,6
2015-08-03,20150803,Monday,8,2015,August,3,32,0
2015-08-04,20150804,Tuesday,8,2015,August,3,32,1
2015-08-05,20150805,Wednesday,8,2015,August,3,32,2
2015-08-06,20150806,Thursday,8,2015,August,3,32,3
2015-08-07,20150807,Friday,8,2015,August,3,32,4
2015-08-08,20150808,Saturday,8,2015,August,3,32,5
2015-08-09,20150809,Sunday,8,2015,August,3,32,6
2015-08-10,20150810,Monday,8,2015,August,3,33,0
2015-08-11,20150811,Tuesday,8,2015,August,3,33,1
2015-08-12,20150812,Wednesday,8,2015,August,3,33,2
2015-08-13,20150813,Thursday,8,2015,August,3,33,3
2015-08-14,20150814,Friday,8,2015,August,3,33,4
2015-08-15,20150815,Saturday,8,2015,August,3,33,5
2015-08-16,20150816,Sunday,8,2015,August,3,33,6
2015-08-17,20150817,Monday,8,2015,August,3,34,0
2015-08-18,20150818,Tuesday,8,2015,August,3,34,1
2015-08-19,20150819,Wednesday,8,2015,August,3,34,2
2015-08-20,20150820,Thursday,8,2015,August,3,34,3
2015-08-21,20150821,Friday,8,2015,August,3,34,4
2015-08-22,20150822,Saturday,8,2015,August,3,34,5
2015-08-23,20150823,Sunday,8,2015,August,3,34,6
2015-08-24,20150824,Monday,8,2015,August,3,35,0
2015-08-25,20150825,Tuesday,8,2015,August,3,35,1
2015-08-26,20150826,Wednesday,8,2015,August,3,35,2
2015-08-27,20150827,Thursday,8,2015,August,3,35,3
2015-08-28,20150828,Friday,8,2015,August,3,35,4
2015-08-29,20150829,Saturday,8,2015,August,3,35,5
2015-08-30,20150830,Sunday,8,2015,August,3,35,6
2015-08-31,20150831,Monday,8,2015,August,3,36,0
2015-09-01,20150901,Tuesday,9,2015,September,3,36,1
2015-09-02,20150902,Wednesday,9,2015,September,3,36,2
2015-09-03,20150903,Thursday,9,2015,September,3,36,3
2015-09-04,20150904,Friday,9,2015,September,3,36,4
2015-09-05,20150905,Saturday,9,2015,September,3,36,5
2015-09-06,20150906,Sunday,9,2015,September,3,36,6
2015-09-07,20150907,Monday,9,2015,September,3,37,0
2015-09-08,20150908,Tuesday,9,2015,September,3,37,1
2015-09-09,20150909,Wednesday,9,2015,September,3,37,2
2015-09-10,20150910,Thursday,9,2015,September,3,37,3
2015-09-11,20150911,Friday,9,2015,September,3,37,4
2015-09-12,20150912,Saturday,9,2015,September,3,37,5
2015-09-13,20150913,Sunday,9,2015,September,3,37,6
2015-09-14,20150914,Monday,9,2015,September,3,38,0
2015-09-15,20150915,Tuesday,9,2015,September,3,38,1
2015-09-16,20150916,Wednesday,9,2015,September,3,38,2
2015-09-17,20150917,Thursday,9,2015,September,3,38,3
2015-09-18,20150918,Friday,9,2015,September,3,38,4
2015-09-19,20150919,Saturday,9,2015,September,3,38,5
2015-09-20,20150920,Sunday,9,2015,September,3,38,6
2015-09-21,20150921,Monday,9,2015,September,3,39,0
2015-09-22,20150922,Tuesday,9,2015,September,3,39,1
2015-09-23,20150923,Wednesday,9,2015,September,3,39,2
2015-09-24,20150924,Thursday,9,2015,September,3,39,3
2015-09-25,20150925,Friday,9,2015,September,3,39,4
2015-09-26,20150926,Saturday,9,2015,September,3,39,5
2015-09-27,20150927,Sunday,9,2015,September,3,39,6
2015-09-28,20150928,Monday,9,2015,September,3,40,0
2015-09-29,20150929,Tuesday,9,2015,September,3,40,1
2015-09-30,20150930,Wednesday,9,2015,September,3,40,2
2015-10-01,20151001,Thursday,10,2015,October,4,40,3
2015-10-02,20151002,Friday,10,2015,October,4,40,4
2015-10-03,20151003,Saturday,10,2015,October,4,40,5
2015-10-04,20151004,Sunday,10,2015,October,4,40,6
2015-10-05,20151005,Monday,10,2015,October,4,41,0
2015-10-06,20151006,Tuesday,10,2015,October,4,41,1
2015-10-07,20151007,Wednesday,10,2015,October,4,41,2
2015-10-08,20151008,Thursday,10,2015,October,4,41,3
2015-10-09,20151009,Friday,10,2015,October,4,41,4
2015-10-10,20151010,Saturday,10,2015,October,4,41,5
2015-10-11,20151011,Sunday,10,2015,October,4,41,6
2015-10-12,20151012,Monday,10,2015,October,4,42,0
2015-10-13,20151013,Tuesday,10,2015,October,4,42,1
2015-10-14,20151014,Wednesday,10,2015,October,4,42,2
2015-10-15,20151015,Thursday,10,2015,October,4,42,3
2015-10-16,20151016,Friday,10,2015,October,4,42,4
2015-10-17,20151017,Saturday,10,2015,October,4,42,5
2015-10-18,20151018,Sunday,10,2015,October,4,42,6
2015-10-19,20151019,Monday,10,2015,October,4,43,0
2015-10-20,20151020,Tuesday,10,2015,October,4,43,1
2015-10-21,20151021,Wednesday,10,2015,October,4,43,2
2015-10-22,20151022,Thursday,10,2015,October,4,43,3
2015-10-23,20151023,Friday,10,2015,October,4,43,4
2015-10-24,20151024,Saturday,10,2015,October,4,43,5
2015-10-25,20151025,Sunday,10,2015,October,4,43,6
2015-10-26,20151026,Monday,10,2015,October,4,44,0
2015-10-27,20151027,Tuesday,10,2015,October,4,44,1
2015-10-28,20151028,Wednesday,10,2015,October,4,44,2
2015-10-29,20151029,Thursday,10,2015,October,4,44,3
2015-10-30,20151030,Friday,10,2015,October,4,44,4
2015-10-31,20151031,Saturday,10,2015,October,4,44,5
2015-11-01,20151101,Sunday,11,2015,November,4,44,6
2015-11-02,20151102,Monday,11,2015,November,4,45,0
2015-11-03,20151103,Tuesday,11,2015,November,4,45,1
2015-11-04,20151104,Wednesday,11,2015,November,4,45,2
2015-11-05,20151105,Thursday,11,2015,November,4,45,3
2015-11-06,20151106,Friday,11,2015,November,4,45,4
2015-11-07,20151107,Saturday,11,2015,November,4,45,5
2015-11-08,20151108,Sunday,11,2015,November,4,45,6
2015-11-09,20151109,Monday,11,2015,November,4,46,0
2015-11-10,20151110,Tuesday,11,2015,November,4,46,1
2015-11-11,20151111,Wednesday,11,2015,November,4,46,2
2015-11-12,20151112,Thursday,11,2015,November,4,46,3
2015-11-13,20151113,Friday,11,2015,November,4,46,4
2015-11-14,20151114,Saturday,11,2015,November,4,46,5
2015-11-15,20151115,Sunday,11,2015,November,4,46,6
2015-11-16,20151116,Monday,11,2015,November,4,47,0
2015-11-17,20151117,Tuesday,11,2015,November,4,47,1
2015-11-18,20151118,Wednesday,11,2015,November,4,47,2
2015-11-19,20151119,Thursday,11,2015,November,4,47,3
2015-11-20,20151120,Friday,11,2015,November,4,47,4
2015-11-21,20151121,Saturday,11,2015,November,4,47,5
2015-11-22,20151122,Sunday,11,2015,November,4,47,6
2015-11-23,20151123,Monday,11,2015,November,4,48,0
2015-11-24,20151124,Tuesday,11,2015,November,4,48,1
2015-11-25,20151125,Wednesday,11,2015,November,4,48,2
2015-11-26,20151126,Thursday,11,2015,November,4,48,3
2015-11-27,20151127,Friday,11,2015,November,4,48,4
2015-11-28,20151128,Saturday,11,2015,November,4,48,5
2015-11-29,20151129,Sunday,11,2015,November,4,48,6
2015-11-30,20151130,Monday,11,2015,November,4,49,0
2015-12-01,20151201,Tuesday,12,2015,December,4,49,1
2015-12-02,20151202,Wednesday,12,2015,December,4,49,2
2015-12-03,20151203,Thursday,12,2015,December,4,49,3
2015-12-04,20151204,Friday,12,2015,December,4,49,4
2015-12-05,20151205,Saturday,12,2015,December,4,49,5
2015-12-06,20151206,Sunday,12,2015,December,4,49,6
2015-12-07,20151207,Monday,12,2015,December,4,50,0
2015-12-08,20151208,Tuesday,12,2015,December,4,50,1
2015-12-09,20151209,Wednesday,12,2015,December,4,50,2
2015-12-10,20151210,Thursday,12,2015,December,4,50,3
2015-12-11,20151211,Friday,12,2015,December,4,50,4
2015-12-12,20151212,Saturday,12,2015,December,4,50,5
2015-12-13,20151213,Sunday,12,2015,December,4,50,6
2015-12-14,20151214,Monday,12,2015,December,4,51,0
2015-12-15,20151215,Tuesday,12,2015,December,4,51,1
2015-12-16,20151216,Wednesday,12,2015,December,4,51,2
2015-12-17,20151217,Thursday,12,2015,December,4,51,3
2015-12-18,20151218,Friday,12,2015,December,4,51,4
2015-12-19,20151219,Saturday,12,2015,December,4,51,5
2015-12-20,20151220,Sunday,12,2015,December,4,51,6
2015-12-21,20151221,Monday,12,2015,December,4,52,0
2015-12-22,20151222,Tuesday,12,2015,December,4,52,1
2015-12-23,20151223,Wednesday,12,2015,December,4,52,2
2015-12-24,20151224,Thursday,12,2015,December,4,52,3
2015-12-25,20151225,Friday,12,2015,December,4,52,4
2015-12-26,20151226,Saturday,12,2015,December,4,52,5
2015-12-27,20151227,Sunday,12,2015,December,4,52,6
2015-12-28,20151228,Monday,12,2015,December,4,53,0
2015-12-29,20151229,Tuesday,12,2015,December,4,53,1
2015-12-30,20151230,Wednesday,12,2015,December,4,53,2
2015-12-31,20151231,Thursday,12,2015,December,4,53,3
2016-01-01,20160101,Friday,1,2016,January,1,53,4
2016-01-02,20160102,Saturday,1,2016,January,1,53,5
2016-01-03,20160103,Sunday,1,2016,January,1,53,6
2016-01-04,20160104,Monday,1,2016,January,1,1,0
2016-01-05,20160105,Tuesday,1,2016,January,1,1,1
2016-01-06,20160106,Wednesday,1,2016,January,1,1,2
2016-01-07,20160107,Thursday,1,2016,January,1,1,3
2016-01-08,20160108,Friday,1,2016,January,1,1,4
2016-01-09,20160109,Saturday,1,2016,January,1,1,5
2016-01-10,20160110,Sunday,1,2016,January,1,1,6
2016-01-11,20160111,Monday,1,2016,January,1,2,0
2016-01-12,20160112,Tuesday,1,2016,January,1,2,1
2016-01-13,20160113,Wednesday,1,2016,January,1,2,2
2016-01-14,20160114,Thursday,1,2016,January,1,2,3
2016-01-15,20160115,Friday,1,2016,January,1,2,4
2016-01-16,20160116,Saturday,1,2016,January,1,2,5
2016-01-17,20160117,Sunday,1,2016,January,1,2,6
2016-01-18,20160118,Monday,1,2016,January,1,3,0
2016-01-19,20160119,Tuesday,1,2016,January,1,3,1
2016-01-20,20160120,Wednesday,1,2016,January,1,3,2
2016-01-21,20160121,Thursday,1,2016,January,1,3,3
2016-01-22,20160122,Friday,1,2016,January,1,3,4
2016-01-23,20160123,Saturday,1,2016,January,1,3,5
2016-01-24,20160124,Sunday,1,2016,January,1,3,6
2016-01-25,20160125,Monday,1,2016,January,1,4,0
2016-01-26,20160126,Tuesday,1,2016,January,1,4,1
2016-01-27,20160127,Wednesday,1,2016,January,1,4,2
2016-01-28,20160128,Thursday,1,2016,January,1,4,3
2016-01-29,20160129,Friday,1,2016,January,1,4,4
2016-01-30,20160130,Saturday,1,2016,January,1,4,5
2016-01-31,20160131,Sunday,1,2016,January,1,4,6
2016-02-01,20160201,Monday,2,2016,February,1,5,0
2016-02-02,20160202,Tuesday,2,2016,February,1,5,1
2016-02-03,20160203,Wednesday,2,2016,February,1,5,2
2016-02-04,20160204,Thursday,2,2016,February,1,5,3
2016-02-05,20160205,Friday,2,2016,February,1,5,4
2016-02-06,20160206,Saturday,2,2016,February,1,5,5
2016-02-07,20160207,Sunday,2,2016,February,1,5,6
2016-02-08,20160208,Monday,2,2016,February,1,6,0
2016-02-09,20160209,Tuesday,2,2016,February,1,6,1
2016-02-10,20160210,Wednesday,2,2016,February,1,6,2
2016-02-11,20160211,Thursday,2,2016,February,1,6,3
2016-02-12,20160212,Friday,2,2016,February,1,6,4
2016-02-13,20160213,Saturday,2,2016,February,1,6,5
2016-02-14,20160214,Sunday,2,2016,February,1,6,6
2016-02-15,20160215,Monday,2,2016,February,1,7,0
2016-02-16,20160216,Tuesday,2,2016,February,1,7,1
2016-02-17,20160217,Wednesday,2,2016,February,1,7,2
2016-02-18,20160218,Thursday,2,2016,February,1,7,3
2016-02-19,20160219,Friday,2,2016,February,1,7,4
2016-02-20,20160220,Saturday,2,2016,February,1,7,5
2016-02-21,20160221,Sunday,2,2016,February,1,7,6
2016-02-22,20160222,Monday,2,2016,February,1,8,0
2016-02-23,20160223,Tuesday,2,2016,February,1,8,1
2016-02-24,20160224,Wednesday,2,2016,February,1,8,2
2016-02-25,20160225,Thursday,2,2016,February,1,8,3
2016-02-26,20160226,Friday,2,2016,February,1,8,4
2016-02-27,20160227,Saturday,2,2016,February,1,8,5
2016-02-28,20160228,Sunday,2,2016,February,1,8,6
2016-02-29,20160229,Monday,2,2016,February,1,9,0
2016-03-01,20160301,Tuesday,3,2016,March,1,9,1
2016-03-02,20160302,Wednesday,3,2016,March,1,9,2
2016-03-03,20160303,Thursday,3,2016,March,1,9,3
2016-03-04,20160304,Friday,3,2016,March,1,9,4
2016-03-05,20160305,Saturday,3,2016,March,1,9,5
2016-03-06,20160306,Sunday,3,2016,March,1,9,6
2016-03-07,20160307,Monday,3,2016,March,1,10,0
2016-03-08,20160308,Tuesday,3,2016,March,1,10,1
2016-03-09,20160309,Wednesday,3,2016,March,1,10,2
2016-03-10,20160310,Thursday,3,2016,March,1,10,3
2016-03-11,20160311,Friday,3,2016,March,1,10,4
2016-03-12,20160312,Saturday,3,2016,March,1,10,5
2016-03-13,20160313,Sunday,3,2016,March,1,10,6
2016-03-14,20160314,Monday,3,2016,March,1,11,0
2016-03-15,20160315,Tuesday,3,2016,March,1,11,1
2016-03-16,20160316,Wednesday,3,2016,March,1,11,2
2016-03-17,20160317,Thursday,3,2016,March,1,11,3
2016-03-18,20160318,Friday,3,2016,March,1,11,4
2016-03-19,20160319,Saturday,3,2016,March,1,11,5
2016-03-20,20160320,Sunday,3,2016,March,1,11,6
2016-03-21,20160321,Monday,3,2016,March,1,12,0
2016-03-22,20160322,Tuesday,3,2016,March,1,12,1
2016-03-23,20160323,Wednesday,3,2016,March,1,12,2
2016-03-24,20160324,Thursday,3,2016,March,1,12,3
2016-03-25,20160325,Friday,3,2016,March,1,12,4
2016-03-26,20160326,Saturday,3,2016,March,1,12,5
2016-03-27,20160327,Sunday,3,2016,March,1,12,6
2016-03-28,20160328,Monday,3,2016,March,1,13,0
2016-03-29,20160329,Tuesday,3,2016,March,1,13,1
2016-03-30,20160330,Wednesday,3,2016,March,1,13,2
2016-03-31,20160331,Thursday,3,2016,March,1,13,3
2016-04-01,20160401,Friday,4,2016,April,2,13,4
2016-04-02,20160402,Saturday,4,2016,April,2,13,5
2016-04-03,20160403,Sunday,4,2016,April,2,13,6
2016-04-04,20160404,Monday,4,2016,April,2,14,0
2016-04-05,20160405,Tuesday,4,2016,April,2,14,1
2016-04-06,20160406,Wednesday,4,2016,April,2,14,2
2016-04-07,20160407,Thursday,4,2016,April,2,14,3
2016-04-08,20160408,Friday,4,2016,April,2,14,4
2016-04-09,20160409,Saturday,4,2016,April,2,14,5
2016-04-10,20160410,Sunday,4,2016,April,2,14,6
2016-04-11,20160411,Monday,4,2016,April,2,15,0
2016-04-12,20160412,Tuesday,4,2016,April,2,15,1
2016-04-13,20160413,Wednesday,4,2016,April,2,15,2
2016-04-14,20160414,Thursday,4,2016,April,2,15,3
2016-04-15,20160415,Friday,4,2016,April,2,15,4
2016-04-16,20160416,Saturday,4,2016,April,2,15,5
2016-04-17,20160417,Sunday,4,2016,April,2,15,6
2016-04-18,20160418,Monday,4,2016,April,2,16,0
2016-04-19,20160419,Tuesday,4,2016,April,2,16,1
2016-04-20,20160420,Wednesday,4,2016,April,2,16,2
2016-04-21,20160421,Thursday,4,2016,April,2,16,3
2016-04-22,20160422,Friday,4,2016,April,2,16,4
2016-04-23,20160423,Saturday,4,2016,April,2,16,5
2016-04-24,20160424,Sunday,4,2016,April,2,16,6
